N,Nodos,Tiempo
500,100,5e-05
1000,100,4.4e-05
1500,100,9.2e-05
2000,100,0.000106
2500,100,0.000131
3000,100,0.000149
3500,100,0.000192
4000,100,0.000128
4500,100,0.000235
5000,100,0.000242
5500,100,0.000191
6000,100,0.000309
6500,100,0.000369
7000,100,0.00024
7500,100,0.000408
8000,100,0.000406
8500,100,0.000472
9000,100,0.000432
9500,100,0.000515
10000,100,0.000321
500,300,4.2e-05
1000,300,0.0001
1500,300,0.000138
2000,300,0.000181
2500,300,0.000246
3000,300,0.000276
3500,300,0.000515
4000,300,0.000398
4500,300,0.000472
5000,300,0.000458
5500,300,0.000546
6000,300,0.000565
6500,300,0.000662
7000,300,0.00065
7500,300,0.000855
8000,300,0.0008
8500,300,0.001277
9000,300,0.000835
9500,300,0.000991
10000,300,0.000909
500,500,6.7e-05
1000,500,0.000129
1500,500,0.000244
2000,500,0.000303
2500,500,0.000411
3000,500,0.000475
3500,500,0.000569
4000,500,0.000604
4500,500,0.001127
5000,500,0.000764
5500,500,0.001484
6000,500,0.000974
6500,500,0.001094
7000,500,0.001122
7500,500,0.002115
8000,500,0.001239
8500,500,0.002199
9000,500,0.001405
9500,500,0.001807
10000,500,0.001482
500,700,0.000108
1000,700,0.00018
1500,700,0.000318
2000,700,0.000414
2500,700,0.000562
3000,700,0.000627
3500,700,0.000811
4000,700,0.000842
4500,700,0.001409
5000,700,0.001048
5500,700,0.001334
6000,700,0.001287
6500,700,0.001508
7000,700,0.001513
7500,700,0.001761
8000,700,0.001684
8500,700,0.001958
9000,700,0.001882
9500,700,0.002295
10000,700,0.002108
500,900,0.000122
1000,900,0.000235
1500,900,0.000418
2000,900,0.000547
2500,900,0.000734
3000,900,0.000814
3500,900,0.001039
4000,900,0.001093
4500,900,0.001337
5000,900,0.001372
5500,900,0.001832
6000,900,0.00169
6500,900,0.00197
7000,900,0.001922
7500,900,0.002249
8000,900,0.002151
8500,900,0.002511
9000,900,0.002436
9500,900,0.002911
10000,900,0.002768
